Gender,Age at enrollment,Scholarship holder,Admission grade,Debtor,Curricular units 1st sem (enrolled),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Target
0,19,0,114.4,0,6,5,11.5,6,4,14.6,
1,25,0,100.0,0,5,1,11.0,5,1,10.0,
1,49,0,139.0,0,6,6,12.166666666666666,6,6,14.428571428571429,
0,28,0,146.2,0,14,11,11.272727272727272,11,10,12.0,
0,19,0,114.4,0,6,5,11.5,6,4,14.6,
0,20,0,106.6,0,6,6,11.5,6,4,10.571428571428571,
0,18,0,147.3,0,7,6,13.966666666666669,7,6,13.966666666666669,
0,39,0,128.2,0,7,0,0.0,8,0,0.0,
0,18,0,147.3,0,7,6,13.966666666666669,7,6,13.966666666666669,
0,19,0,150.0,0,5,1,13.0,5,3,15.333333333333334,
0,41,0,125.0,0,6,6,12.285714285714286,6,5,13.0,
1,21,0,139.0,0,6,5,12.8,6,5,12.25,
0,20,0,128.2,0,12,12,11.23076923076923,11,9,12.77777777777778,
0,28,0,146.2,0,14,11,11.272727272727272,11,10,12.0,
1,19,0,137.5,1,0,0,0.0,0,0,0.0,
0,25,1,120.0,0,8,7,13.29,8,7,13.29,
1,48,0,100.0,0,6,3,10.0,6,1,10.0,
0,19,0,155.3,0,5,5,15.2,5,5,13.2,
0,19,1,121.3,0,8,6,11.833333333333334,8,6,11.833333333333334,
0,19,0,122.5,0,8,7,13.937142857142858,8,7,13.937142857142858,
0,19,0,106.0,0,7,2,12.75,7,2,11.0,
0,20,0,129.0,0,5,4,11.75,5,2,10.5,
0,20,0,133.2,0,9,9,11.666666666666666,7,7,11.714285714285714,
0,21,0,140.0,0,12,8,12.25,12,8,12.2,
0,19,0,134.8,0,7,6,13.533333333333331,7,6,13.533333333333331,
0,19,0,127.0,0,8,1,13.67,8,1,13.67,
0,21,0,131.9,0,10,6,11.5,10,5,12.4,
0,38,0,160.5,0,11,11,12.636363636363637,8,8,11.0,
1,18,0,118.3,0,5,1,10.0,5,1,10.0,
0,18,1,132.6,0,6,6,14.0,6,6,13.142857142857142,
0,54,0,169.2,1,7,0,0.0,5,0,0.0,
0,33,0,140.0,0,7,6,14.35,8,6,14.583333333333334,
1,20,0,114.0,0,5,4,11.6,5,4,12.25,
1,21,0,122.9,0,5,4,13.2,5,4,14.25,
0,18,0,126.6,0,6,6,14.625,6,6,14.142857142857142,
1,20,0,116.0,0,6,6,11.5,6,6,11.0,
0,18,0,120.7,1,6,6,11.666666666666666,6,4,11.5,
0,18,0,129.0,0,7,7,12.65,8,8,13.411111111111111,
0,22,0,140.0,0,6,6,13.333333333333334,6,4,11.5,
0,21,0,98.6,0,6,2,11.0,6,0,0.0,
0,20,0,134.3,0,6,6,12.666666666666666,6,6,13.77777777777778,
1,52,0,129.8,0,6,5,13.0,6,6,15.0,
0,20,0,129.0,0,5,4,11.75,5,2,10.5,
0,18,0,146.7,0,5,5,16.2,5,5,16.4,
0,18,0,129.0,0,7,7,12.65,8,8,13.411111111111111,
0,20,1,120.1,0,6,6,12.333333333333334,6,6,11.833333333333334,
1,20,0,121.0,0,5,4,14.25,5,1,10.0,
0,18,1,126.0,0,0,0,0.0,0,0,0.0,
0,21,0,98.6,0,6,2,11.0,6,0,0.0,
1,25,0,100.0,0,5,1,11.0,5,1,10.0,
0,24,0,116.3,0,6,5,12.6,6,5,12.2,
0,18,1,122.1,0,5,4,11.571428571428571,5,5,12.0,
0,18,0,128.6,0,7,7,14.728571428571428,8,8,16.327272727272728,
0,34,0,120.0,0,6,5,12.4,6,5,12.8,
0,24,0,170.0,0,7,7,16.885714285714283,8,8,15.744444444444444,
1,19,0,125.6,0,6,0,0.0,6,0,0.0,
0,21,0,160.0,0,6,6,13.428571428571429,6,6,12.857142857142858,
0,19,0,138.8,0,7,6,12.766666666666666,7,6,12.766666666666666,
0,19,1,128.6,0,6,5,11.714285714285714,6,6,11.0,
0,19,0,150.0,0,5,1,13.0,5,3,15.333333333333334,
0,20,0,106.6,0,6,6,11.5,6,4,10.571428571428571,
1,19,0,136.1,0,4,0,0.0,6,0,0.0,
0,32,0,120.0,0,3,2,16.0,3,1,16.0,
0,18,1,124.4,0,7,7,13.3,8,8,15.125,
0,30,0,140.0,0,6,0,0.0,6,0,0.0,
0,18,0,127.3,0,7,7,13.30625,8,8,14.545,
1,18,0,112.9,0,5,0,0.0,5,0,0.0,
0,45,0,130.0,0,12,9,12.444444444444445,7,6,12.0,
0,18,0,135.9,0,6,5,12.4,6,6,13.0,
0,18,1,126.0,0,0,0,0.0,0,0,0.0,
0,24,0,115.0,0,5,0,0.0,5,0,0.0,
0,24,0,116.3,0,6,5,12.6,6,5,12.2,
1,52,0,129.8,0,6,5,13.0,6,6,15.0,
1,20,0,95.0,0,5,0,0.0,5,0,0.0,
1,22,0,130.0,0,6,4,11.5,6,2,12.5,
0,19,0,114.4,0,6,5,11.5,6,4,14.6,
1,20,0,133.6,0,9,9,13.454545454545457,7,6,13.875,
0,19,0,122.5,0,8,7,13.937142857142858,8,7,13.937142857142858,
0,24,0,116.3,0,6,5,12.6,6,5,12.2,
1,44,0,120.0,0,7,5,12.1,7,5,12.6,
0,20,1,123.3,0,6,6,14.833333333333334,6,6,12.142857142857142,
0,21,0,125.3,0,18,18,11.88888888888889,13,13,11.461538461538462,
0,18,0,121.7,0,6,2,13.0,6,0,0.0,
1,20,0,148.7,0,4,0,0.0,4,0,0.0,
1,33,1,130.0,0,8,1,10.0,8,1,10.0,
0,18,1,124.4,0,7,7,13.3,8,8,15.125,
0,18,1,118.7,0,6,6,14.166666666666666,6,6,13.666666666666666,
0,18,0,126.8,1,7,0,0.0,8,0,0.0,
0,38,0,160.5,0,11,11,12.636363636363637,8,8,11.0,
1,30,1,128.2,0,5,0,0.0,5,0,0.0,
0,18,0,122.9,0,7,7,13.128,8,6,13.193333333333332,
1,20,0,133.6,0,9,9,13.454545454545457,7,6,13.875,
0,18,0,130.8,0,8,6,12.758333333333333,8,6,12.758333333333333,
0,21,1,153.0,0,17,17,13.38888888888889,17,17,14.88888888888889,
1,20,0,121.0,0,5,4,14.25,5,1,10.0,
1,33,0,139.0,1,6,0,0.0,5,0,0.0,
0,19,0,122.5,0,8,7,13.937142857142858,8,7,13.937142857142858,
1,21,0,139.0,0,6,5,12.8,6,5,12.25,
0,19,0,144.8,0,6,6,12.166666666666666,6,6,12.5,
0,20,1,111.5,0,6,4,12.0,6,3,10.0,
0,22,0,118.3,0,6,3,15.0,6,4,10.25,
1,19,1,116.9,0,5,3,11.666666666666666,5,3,11.666666666666666,
0,26,0,102.5,0,6,4,11.75,6,0,0.0,
1,25,0,140.0,0,6,6,14.666666666666666,6,6,13.5,
1,20,0,133.6,0,9,9,13.454545454545457,7,6,13.875,
1,25,0,140.0,0,6,6,14.666666666666666,6,6,13.5,
1,25,0,115.0,1,6,4,13.0,6,4,13.75,
1,22,0,119.1,0,7,6,12.733333333333334,7,6,12.733333333333334,
1,21,0,140.0,0,6,6,12.857142857142858,6,6,13.166666666666666,
0,18,0,130.6,0,5,5,12.8,5,5,11.857142857142858,
1,21,0,131.0,1,6,1,14.0,6,0,0.0,
0,22,0,140.0,0,6,6,13.333333333333334,6,4,11.5,
0,26,0,102.5,0,6,4,11.75,6,0,0.0,
0,20,0,129.0,0,5,4,11.75,5,2,10.5,
0,41,0,100.0,0,6,5,11.8,6,3,10.666666666666666,
0,21,0,119.7,0,5,5,12.2,5,3,11.333333333333334,
0,19,0,127.0,0,8,1,13.67,8,1,13.67,
0,22,0,140.0,0,6,6,13.333333333333334,6,4,11.5,
0,18,1,132.6,0,6,6,14.0,6,6,13.142857142857142,
0,19,1,117.8,0,7,7,13.7,8,7,14.671428571428574,
0,24,0,116.3,0,6,5,12.6,6,5,12.2,
0,19,1,136.0,0,7,7,14.014285714285714,8,8,15.35,
0,18,1,120.8,0,8,7,14.654285714285717,8,7,14.654285714285717,
0,20,0,160.0,0,11,11,13.785714285714286,9,9,13.88888888888889,
1,25,0,140.0,0,6,6,14.666666666666666,6,6,13.5,
1,19,0,137.5,1,0,0,0.0,0,0,0.0,
0,45,0,130.0,0,12,9,12.444444444444445,7,6,12.0,
0,18,1,124.4,0,7,7,13.3,8,8,15.125,
1,21,0,139.0,0,6,5,12.8,6,5,12.25,
0,20,0,113.2,1,6,6,13.333333333333334,6,5,14.0,
0,18,0,149.5,0,6,6,17.0,6,6,16.0,
1,19,0,115.3,0,6,6,13.857142857142858,6,5,13.0,
0,19,0,122.5,0,8,7,13.937142857142858,8,7,13.937142857142858,
0,18,0,130.8,0,8,6,12.758333333333333,8,6,12.758333333333333,
0,23,0,115.0,0,5,2,10.0,5,1,12.0,
1,44,0,120.0,0,7,5,12.1,7,5,12.6,
1,18,0,127.0,0,6,0,0.0,6,0,0.0,
0,20,0,117.3,0,5,4,12.0,5,5,11.2,
0,19,0,122.3,0,6,6,11.666666666666666,6,6,12.333333333333334,
1,22,0,115.0,0,6,0,0.0,6,0,0.0,
0,21,0,119.7,0,5,5,12.2,5,3,11.333333333333334,
0,25,0,120.0,0,5,0,0.0,5,0,0.0,
0,39,0,115.5,0,6,3,12.666666666666666,6,0,0.0,
1,32,0,110.0,0,8,2,11.5,7,0,0.0,
0,19,0,138.5,0,8,8,14.34125,8,8,14.34125,
1,49,0,139.0,0,6,6,12.166666666666666,6,6,14.428571428571429,
0,21,0,125.3,0,18,18,11.88888888888889,13,13,11.461538461538462,
0,25,1,120.0,0,8,7,13.29,8,7,13.29,
0,19,0,106.0,0,7,2,12.75,7,2,11.0,
0,39,0,128.2,0,7,0,0.0,8,0,0.0,
0,45,0,130.0,0,12,9,12.444444444444445,7,6,12.0,
1,19,0,136.1,0,4,0,0.0,6,0,0.0,
0,18,0,120.9,0,6,0,0.0,6,0,0.0,
1,33,1,130.0,0,8,1,10.0,8,1,10.0,
1,18,0,143.1,0,0,0,0.0,0,0,0.0,
0,24,1,115.4,0,8,7,11.971428571428572,8,7,11.971428571428572,
0,19,1,117.8,0,7,7,13.7,8,7,14.671428571428574,
0,18,0,126.6,0,6,6,12.833333333333334,6,6,13.833333333333334,
0,31,0,123.0,0,7,6,11.833333333333334,7,7,12.228571428571428,
0,20,0,117.3,0,5,4,12.0,5,5,11.2,
0,24,0,170.0,0,7,7,16.885714285714283,8,8,15.744444444444444,
0,18,1,132.6,0,6,6,14.0,6,6,13.142857142857142,
1,33,0,139.0,1,6,0,0.0,5,0,0.0,
1,18,1,120.5,0,7,7,11.716666666666663,8,4,10.868,
1,48,0,100.0,0,6,3,10.0,6,1,10.0,
1,33,0,139.0,1,6,0,0.0,5,0,0.0,
1,59,0,161.9,0,5,0,0.0,5,0,0.0,
0,19,0,124.3,0,6,5,12.2,6,5,10.8,
0,38,0,160.5,0,11,11,12.636363636363637,8,8,11.0,
1,20,0,116.0,0,6,6,11.5,6,6,11.0,
0,20,1,129.5,0,7,6,12.333333333333334,7,6,12.333333333333334,
0,18,0,129.0,0,7,7,12.65,8,8,13.411111111111111,
1,18,0,129.3,0,8,7,13.1,8,7,13.1,
0,24,1,115.4,0,8,7,11.971428571428572,8,7,11.971428571428572,
1,20,0,95.0,0,5,0,0.0,5,0,0.0,
1,23,1,131.4,0,18,18,11.894736842105264,13,13,12.923076923076923,
1,32,0,115.2,1,7,3,12.0,8,3,10.333333333333334,
0,18,1,148.9,0,6,6,13.666666666666666,6,6,13.0,
0,48,0,98.5,0,6,6,11.333333333333334,6,5,12.4,
0,19,0,123.4,0,5,5,12.4,5,5,13.4,
1,22,0,115.0,0,6,0,0.0,6,0,0.0,
1,22,0,119.1,0,7,6,12.733333333333334,7,6,12.733333333333334,
1,22,0,150.0,0,5,0,0.0,5,0,0.0,
0,18,0,129.5,0,7,7,15.155555555555557,8,8,16.8,
0,18,1,126.0,0,0,0,0.0,0,0,0.0,
0,19,0,113.5,0,6,6,11.333333333333334,6,4,13.75,
1,21,0,123.9,0,6,0,0.0,6,0,0.0,
0,21,0,131.9,0,10,6,11.5,10,5,12.4,
1,18,1,120.5,0,7,7,11.716666666666663,8,4,10.868,
0,24,0,116.3,0,6,5,12.6,6,5,12.2,
0,19,0,125.2,0,6,6,14.333333333333334,6,6,13.5,
1,19,0,137.5,1,0,0,0.0,0,0,0.0,
0,20,1,121.7,0,6,6,11.875,6,6,14.428571428571429,
0,19,0,134.8,0,7,6,13.533333333333331,7,6,13.533333333333331,
0,18,0,137.0,0,5,5,14.0,5,5,15.4,
0,23,0,130.0,0,9,9,10.88888888888889,8,6,11.333333333333334,
0,20,0,117.3,0,5,4,12.0,5,5,11.2,
0,39,0,115.5,0,6,3,12.666666666666666,6,0,0.0,
1,52,0,129.8,0,6,5,13.0,6,6,15.0,
0,28,0,146.2,0,14,11,11.272727272727272,11,10,12.0,
1,22,0,119.1,0,7,6,12.733333333333334,7,6,12.733333333333334,
0,18,0,120.9,0,6,0,0.0,6,0,0.0,
1,18,0,123.2,0,5,4,11.0,5,5,10.5,
1,22,0,119.1,0,7,6,12.733333333333334,7,6,12.733333333333334,
0,34,0,120.0,0,6,5,12.4,6,5,12.8,
0,19,0,138.8,0,7,6,12.766666666666666,7,6,12.766666666666666,
1,22,0,105.8,0,7,6,14.333333333333334,8,7,13.771428571428572,
1,21,0,122.9,0,5,4,13.2,5,4,14.25,
0,20,0,106.6,0,6,6,11.5,6,4,10.571428571428571,
0,48,0,98.5,0,6,6,11.333333333333334,6,5,12.4,
0,32,0,128.0,0,7,0,0.0,8,0,0.0,
0,18,1,128.3,0,7,7,13.428571428571429,8,8,14.75,
0,41,0,125.0,0,6,6,12.285714285714286,6,5,13.0,
0,18,0,122.9,0,7,7,13.128,8,6,13.193333333333332,
1,48,0,100.0,0,6,3,10.0,6,1,10.0,
0,19,0,129.3,0,5,5,11.8,5,5,13.2,
0,18,0,146.7,0,5,5,16.2,5,5,16.4,
0,20,0,133.2,0,9,9,11.666666666666666,7,7,11.714285714285714,
0,19,1,121.3,0,8,6,11.833333333333334,8,6,11.833333333333334,
0,20,0,123.8,0,6,5,12.0,6,6,11.0,
0,19,1,136.0,0,7,7,14.014285714285714,8,8,15.35,
1,20,0,133.6,0,9,9,13.454545454545457,7,6,13.875,
0,21,0,119.7,0,5,5,12.2,5,3,11.333333333333334,
0,21,0,147.7,0,12,12,15.333333333333334,11,11,15.0,
1,20,0,121.0,0,5,4,14.25,5,1,10.0,
1,21,0,123.9,0,6,0,0.0,6,0,0.0,
1,37,0,110.0,0,6,0,0.0,6,0,0.0,
1,48,0,100.0,0,6,3,10.0,6,1,10.0,
0,41,0,125.2,1,21,21,12.333333333333334,19,19,12.105263157894736,
1,18,0,143.1,0,0,0,0.0,0,0,0.0,
0,18,1,132.6,0,6,6,14.0,6,6,13.142857142857142,
0,23,0,130.0,0,9,9,10.88888888888889,8,6,11.333333333333334,
1,49,0,139.0,0,6,6,12.166666666666666,6,6,14.428571428571429,
