Gender;Age at enrollment;Application mode;Course;Scholarship holder;Admission grade;Curricular units 1st sem (enrolled);Curricular units 1st sem (approved);Curricular units 1st sem (grade);Curricular units 2nd sem (enrolled);Curricular units 2nd sem (approved);Curricular units 2nd sem (grade)
0;21;17;9085;0;131.5;5;0;0.0;5;2;13.5
0;18;1;9147;1;147.0;5;4;13.0;5;3;12.333333333333334
0;19;1;9853;1;122.5;6;6;13.333333333333334;6;6;14.5
0;18;1;9254;0;117.5;6;4;11.25;6;2;12.5
0;19;51;9500;1;150.0;7;5;13.85;8;7;12.19285714285714
0;19;18;9500;1;127.5;7;6;13.741666666666667;8;7;14.9125
0;33;7;9991;0;140.0;6;6;15.333333333333334;5;5;15.8
0;45;7;9147;0;130.0;5;5;11.0;5;5;13.8
0;20;1;9238;1;133.3;6;6;12.0;6;6;12.857142857142858
0;28;39;9670;0;97.0;5;0;0.0;5;0;0.0
0;19;43;9500;1;112.0;8;7;11.571428571428571;8;7;11.571428571428571
0;18;1;9254;0;123.6;6;6;12.857142857142858;6;3;12.666666666666666
0;38;39;9254;0;130.5;6;0;0.0;6;0;0.0
0;19;1;9670;0;133.3;5;5;13.0;5;5;13.2
0;21;1;9254;1;132.1;6;5;11.0;6;5;12.0
0;21;1;9147;0;100.0;5;3;12.0;5;1;15.0
0;22;1;9238;1;140.4;6;5;12.6;6;6;13.0
0;18;1;9853;1;141.7;6;5;13.4;6;6;13.166666666666666
0;18;17;9238;1;119.7;6;6;11.333333333333334;6;6;11.571428571428571
0;25;1;9130;0;122.5;5;4;13.5;5;4;14.25
0;24;39;9085;0;140.0;6;3;11.75;6;3;10.333333333333334
0;19;1;9500;0;119.4;7;6;12.471428571428572;7;7;11.4625
0;24;16;171;0;155.0;17;11;12.909090909090908;13;9;13.555555555555555
0;20;1;9147;1;119.1;5;5;11.6;5;5;13.6
0;25;39;9147;0;122.7;5;0;0.0;5;0;0.0
0;20;1;9147;1;117.9;10;9;12.9;10;10;12.363636363636363
0;23;7;9500;0;130.0;8;8;13.22;8;8;13.22
0;19;17;9500;1;120.0;8;7;13.151428571428571;8;7;13.151428571428571
0;29;44;9003;0;130.0;6;3;12.75;6;3;11.333333333333334
0;21;1;9254;0;116.8;6;6;11.333333333333334;6;4;12.25
0;18;1;9670;1;123.4;6;6;13.25;6;5;14.142857142857142
0;19;1;9070;0;125.4;6;5;12.4;6;5;12.4
0;18;1;9773;1;127.2;6;6;15.0;6;6;12.833333333333334
0;19;1;9085;0;103.4;5;5;14.4;5;5;13.0
0;18;1;9773;0;123.2;6;1;11.0;6;0;0.0
0;18;17;9147;0;124.1;5;5;12.4;5;5;10.8
0;37;39;9556;1;99.5;7;1;16.0;7;0;0.0
0;29;17;9991;0;124.9;5;5;13.571428571428571;5;5;12.333333333333334
0;18;17;9070;0;110.8;6;6;11.833333333333334;6;6;12.5
0;19;1;9238;1;118.9;6;5;11.666666666666666;6;5;12.666666666666666
0;22;43;9238;0;118.8;10;6;11.833333333333334;7;2;13.0
0;20;1;9254;1;137.0;6;6;11.166666666666666;6;5;10.6
0;34;39;8014;0;100.0;6;0;0.0;6;0;0.0
0;30;43;9119;0;120.0;12;8;11.75;12;6;12.166666666666666
0;18;1;9238;0;122.8;6;6;14.0;6;6;14.0
0;18;1;9238;0;121.6;6;6;12.833333333333334;6;6;12.0
0;18;1;9773;0;149.2;6;4;12.25;6;3;11.666666666666666
0;18;17;9500;0;140.0;8;7;14.828571428571427;8;7;14.828571428571427
0;19;1;9773;1;133.4;6;5;11.4;6;5;12.8
0;19;1;9070;1;126.2;6;6;13.0;6;6;12.5
0;18;1;9500;1;127.8;8;7;13.671428571428573;8;7;13.671428571428573
0;21;44;9003;1;150.0;6;6;12.666666666666666;6;5;12.8
0;20;1;9147;0;113.7;5;2;10.0;5;1;13.0
0;20;17;9147;0;117.8;5;5;13.5;5;5;12.333333333333334
0;19;1;9500;0;136.7;7;7;12.67;8;8;13.55
0;20;1;9238;0;144.7;6;6;14.5;6;6;15.428571428571429
0;18;17;9500;0;139.8;7;7;13.685714285714283;8;8;15.3875
0;20;42;9853;0;113.7;6;5;11.0;6;3;10.666666666666666
0;29;7;9130;0;140.0;9;7;11.555555555555555;7;5;13.2
0;18;1;9500;1;142.3;7;7;13.79714285714286;8;8;13.775
0;20;1;9500;1;119.6;7;7;14.00375;8;7;13.812857142857142
0;22;16;9147;1;123.7;5;4;12.0;5;4;11.4
0;47;1;8014;1;143.0;6;5;14.166666666666666;6;6;14.166666666666666
0;31;51;9991;0;100.1;5;5;14.0;5;5;13.8
0;21;1;9070;1;119.4;6;5;13.8;6;6;12.833333333333334
0;21;1;8014;0;122.1;6;5;12.8;6;6;11.857142857142858
0;24;39;9773;0;100.0;6;6;12.166666666666666;6;6;13.833333333333334
0;18;17;9070;0;113.9;6;6;12.5;6;6;12.333333333333334
0;32;39;8014;0;101.0;6;4;12.0;6;4;11.5
0;19;18;8014;1;111.8;6;6;10.833333333333334;6;6;11.5
0;24;39;9500;0;140.0;8;8;13.385;8;8;13.385
0;19;17;9085;0;124.4;6;6;15.666666666666666;6;6;14.5
0;19;44;9003;1;150.0;6;6;14.333333333333334;6;6;13.833333333333334
0;24;44;9003;0;140.0;6;6;11.428571428571429;6;5;13.0
0;18;17;9238;1;116.0;6;6;11.666666666666666;6;6;11.666666666666666
0;19;1;9070;1;135.6;6;5;12.0;6;2;11.333333333333334
0;19;1;9500;1;121.0;8;7;14.725714285714288;8;7;14.725714285714288
0;18;17;9773;1;118.7;6;6;14.166666666666666;6;6;13.666666666666666
0;18;1;9238;0;125.7;6;6;11.571428571428571;6;6;12.333333333333334
0;20;17;9556;0;107.1;7;7;12.5;8;8;13.1375
0;18;1;9500;0;125.5;8;8;12.86;8;8;12.86
0;18;17;9670;0;127.0;6;6;12.25;6;6;13.714285714285714
0;21;1;9085;1;113.5;5;4;12.0;5;5;12.2
0;18;1;9500;1;154.4;7;7;15.116666666666667;8;8;16.168888888888887
0;18;51;9670;0;122.0;5;2;12.5;5;4;10.25
0;19;17;9238;0;128.0;6;0;0.0;6;0;0.0
0;19;1;9670;0;115.5;6;4;11.0;6;4;11.0
0;18;17;9670;0;117.2;6;6;11.875;6;4;14.6
0;34;39;9130;0;150.0;5;1;11.0;5;0;0.0
0;19;1;9085;0;155.3;5;5;15.2;5;5;13.2
0;19;44;9130;0;120.0;6;5;11.6;6;2;11.0
0;26;51;9238;0;116.1;6;6;14.833333333333334;6;6;15.142857142857142
0;21;17;9853;0;118.9;6;3;11.333333333333334;6;3;11.333333333333334
0;18;17;9147;1;127.3;5;5;11.2;5;5;11.8
0;20;17;9853;1;113.7;6;5;13.4;6;5;13.666666666666666
0;25;51;9147;0;118.5;5;2;10.5;5;0;0.0
0;18;1;9147;0;146.7;5;5;16.2;5;5;16.4
0;18;1;9500;1;124.3;7;7;14.542857142857144;8;8;14.88181818181818
0;19;1;9500;0;137.8;7;7;13.694285714285714;8;8;14.355555555555554
0;18;1;9238;1;130.2;6;6;11.285714285714286;6;6;11.857142857142858
0;20;17;9500;0;147.8;7;6;11.757142857142856;8;6;13.083333333333334
0;26;7;9085;0;150.0;3;0;0.0;6;0;0.0
0;19;42;9500;1;100.0;8;7;13.058571428571428;8;7;13.058571428571428
0;19;1;9500;0;155.6;7;7;14.3;8;8;14.055555555555555
0;19;43;9147;0;117.4;10;5;11.8;10;8;12.0
0;19;5;9085;0;128.8;5;3;10.333333333333334;5;3;13.0
0;18;1;9254;0;117.5;6;6;10.571428571428571;6;3;11.666666666666666
0;19;43;9500;0;120.4;7;6;13.333333333333334;7;6;13.333333333333334
0;18;1;9238;0;130.9;6;6;11.857142857142858;6;5;11.0
0;18;1;9853;0;125.0;6;5;12.6;6;5;11.4
0;18;1;9085;0;136.8;5;5;14.0;5;5;11.6
0;18;1;9853;0;121.6;7;5;12.0;7;6;12.666666666666666
0;26;44;9119;0;151.0;5;0;0.0;5;0;0.0
0;20;1;9238;0;103.5;6;6;12.0;6;6;13.0
0;19;1;8014;0;119.4;6;6;12.666666666666666;6;6;11.666666666666666
0;18;1;9238;1;134.4;6;6;12.166666666666666;6;6;13.666666666666666
0;19;44;9238;0;143.0;6;6;13.333333333333334;6;6;14.666666666666666
0;40;7;9853;0;110.0;7;7;15.0;7;7;14.571428571428571
0;18;1;9500;1;132.5;8;8;13.39125;8;8;13.39125
0;19;17;9238;0;114.7;6;5;12.166666666666666;6;6;12.428571428571429
0;18;17;9130;0;166.9;5;4;11.25;5;4;12.5
0;19;1;9085;0;125.9;5;4;12.0;5;3;12.0
0;18;1;171;0;178.3;0;0;0.0;0;0;0.0
0;33;39;8014;0;117.0;6;6;12.833333333333334;6;6;12.857142857142858
0;35;39;9003;0;150.0;6;6;14.0;6;6;13.1
0;26;42;9147;0;130.0;5;4;13.0;5;2;12.0
0;18;1;9773;0;135.1;6;6;13.5;6;6;12.5
0;36;43;9238;0;110.0;16;13;10.692307692307692;13;9;12.307692307692308
0;39;39;9991;0;136.2;5;5;11.0;5;5;11.666666666666666
0;44;39;9238;0;116.0;6;6;13.0;6;6;13.833333333333334
0;20;1;8014;0;100.0;6;5;12.0;6;4;11.25
0;24;1;9254;0;116.3;6;4;12.6;6;4;11.5
0;20;43;9773;1;134.0;6;6;13.666666666666666;6;6;13.333333333333334
0;19;1;171;0;124.2;0;0;0.0;0;0;0.0
0;18;1;9500;1;134.5;7;6;14.2;7;6;14.2
0;22;1;9254;0;120.7;6;5;11.0;6;0;0.0
0;18;17;9085;0;127.1;6;6;15.0;6;6;16.428571428571427
0;24;39;9500;0;133.0;7;6;12.585714285714284;8;7;13.44285714285714
0;33;39;9991;0;128.2;5;0;0.0;5;0;0.0
0;30;39;9003;1;130.0;6;0;0.0;6;0;0.0
0;26;39;9085;0;172.0;6;0;0.0;6;0;0.0
0;18;17;9853;0;128.5;6;6;11.666666666666666;6;6;11.833333333333334
0;19;1;9773;0;128.5;6;3;12.666666666666666;6;2;10.0
0;20;17;9147;0;112.0;5;3;10.333333333333334;5;4;11.0
0;22;53;9085;1;142.5;11;8;13.5;9;7;13.714285714285714
0;19;1;9500;0;133.0;7;5;13.98;7;5;13.98
0;21;1;9085;1;106.0;6;6;16.153846153846153;6;6;15.75
0;21;1;9500;1;125.5;7;6;14.033333333333331;7;6;14.033333333333331
0;19;17;9085;0;131.2;5;1;11.0;5;5;11.2
0;19;1;9853;1;112.9;7;7;13.857142857142858;7;6;13.666666666666666
0;18;1;9500;0;124.8;8;7;13.414285714285716;8;7;13.414285714285716
0;50;43;8014;0;140.9;11;11;13.545454545454543;7;7;13.571428571428571
0;31;39;9991;1;148.0;5;4;11.25;5;4;10.833333333333334
0;19;17;9773;1;148.4;6;6;13.833333333333334;6;6;14.428571428571429
0;35;39;9991;0;129.7;5;5;12.0;5;5;12.857142857142858
0;31;39;9085;0;128.2;6;0;0.0;6;0;0.0
0;42;51;8014;0;104.0;11;10;11.9;11;10;12.8
0;34;18;9147;0;119.9;5;0;0.0;5;0;0.0
0;18;1;9500;1;141.0;7;7;15.135714285714286;8;8;15.287499999999998
0;18;17;9853;1;116.6;7;7;12.285714285714286;7;6;13.333333333333334
0;21;44;9085;0;140.0;6;5;12.666666666666666;6;2;13.5
0;26;39;9500;1;140.0;7;5;12.74;8;6;10.978571428571428
0;20;43;9500;0;100.0;7;6;13.25;8;8;13.75
0;19;1;9238;0;121.0;6;3;10.333333333333334;6;3;10.333333333333334
0;19;1;9853;1;117.0;6;6;13.428571428571429;6;6;13.166666666666666
0;20;53;9147;0;140.2;11;9;12.555555555555555;9;8;11.11111111111111
0;19;1;9238;0;129.3;6;6;11.5;6;6;11.166666666666666
0;18;1;9853;0;145.3;6;6;13.666666666666666;6;6;12.333333333333334
0;28;39;9991;0;146.2;14;11;11.272727272727272;11;10;12.0
0;22;17;9853;0;122.5;6;5;13.166666666666666;6;5;12.4
0;21;44;8014;1;156.1;6;6;14.666666666666666;6;6;14.166666666666666
0;21;44;9085;0;140.0;6;4;12.75;6;1;11.0
0;26;39;9500;0;140.0;7;5;11.2;8;5;12.14
0;18;1;9773;0;128.4;6;5;13.0;6;5;11.4
0;20;17;9085;0;115.0;5;2;10.5;5;2;12.333333333333334
0;18;17;9085;0;158.7;6;6;14.857142857142858;6;6;14.0
0;19;1;9500;1;124.5;8;7;12.86;8;7;12.86
0;20;51;9238;0;111.9;11;11;11.727272727272728;11;11;12.0
0;22;44;9085;1;150.0;6;6;13.142857142857142;6;3;12.0
0;18;17;9670;0;114.2;6;5;11.8;6;4;13.714285714285714
0;19;17;9147;0;96.0;5;3;10.666666666666666;5;0;0.0
0;18;17;9070;1;128.9;6;5;11.6;6;4;11.2
0;20;17;9254;0;121.7;6;3;10.333333333333334;6;3;10.333333333333334
0;19;1;9773;0;114.8;6;4;12.25;6;3;11.0
