Gender;Age at enrollment;Scholarship holder;Admission grade;Debtor;Curricular units 1st sem (enrolled);Curricular units 1st sem (approved);Curricular units 1st sem (grade);Curricular units 2nd sem (enrolled);Curricular units 2nd sem (approved);Curricular units 2nd sem (grade)
0;19;0;134.3;0;5;5;14.2;5;5;13.8
0;19;0;111.5;1;7;4;11.96;7;0;0.0
0;21;0;128.8;0;10;8;12.875;9;5;13.4
0;20;0;110.0;0;0;0;0.0;0;0;0.0
0;36;0;113.5;0;6;0;0.0;6;0;0.0
0;43;0;160.0;0;18;18;1.463.157.894.736.840;13;13;1.423.076.923.076.920
0;19;0;117.4;0;6;0;0.0;6;0;0.0
0;20;0;122.2;1;10;10;13.0;11;11;12.272.727.272.727.200
0;19;0;118.2;0;6;0;0.0;6;0;0.0
0;20;0;106.7;0;6;4;14.2;6;4;13.25
0;20;0;108.2;0;7;6;13.266.666.666.666.600;7;5;12.3
0;20;0;107.0;0;7;6;11.666.666.666.666.600;7;3;13.0
0;18;0;136.1;0;6;6;13.857.142.857.142.800;6;6;15.0
0;18;1;115.3;0;5;3;13.0;5;3;11.0
0;19;0;139.8;0;5;5;13.4;5;5;12.8
0;18;0;157.0;0;6;6;12.666.666.666.666.600;6;6;12.571.428.571.428.500
0;18;0;131.0;0;7;6;12.516.666.666.666.600;7;6;12.516.666.666.666.600
0;20;0;100.0;0;7;6;11.616.666.666.666.600;7;7;13.0
0;20;1;140.4;0;6;2;10.0;6;4;10.75
0;20;0;113.4;0;5;3;10.333.333.333.333.300;5;3;10.666.666.666.666.600
0;18;0;137.0;0;5;5;13.142.857.142.857.100;5;5;11.4
0;18;0;121.8;0;5;5;12.6;5;5;14.0
0;21;0;131.0;0;6;3;11.0;6;2;11.0
0;19;0;118.6;0;5;5;10.8;5;4;11.25
0;19;0;122.3;0;0;0;0.0;0;0;0.0
0;19;1;127.9;0;5;5;12.8;5;5;14.2
0;19;0;121.3;0;6;6;14.166.666.666.666.600;6;6;12.2
0;19;0;117.1;0;7;5;12.1;7;0;0.0
0;20;0;160.0;0;6;6;14.166.666.666.666.600;6;5;1.377.777.777.777.770
0;18;1;145.3;0;6;5;12.8;6;5;13.4
0;18;0;122.6;0;6;6;13.0;6;6;13.666.666.666.666.600
0;19;0;128.0;0;7;7;13.467.142.857.142.800;8;8;15.011.111.111.111.100
0;18;1;124.9;0;7;7;132.375;8;7;13.742.857.142.857.100
0;18;0;123.7;0;6;6;12.333.333.333.333.300;6;6;13.0
0;19;0;120.1;0;5;5;12.4;5;5;14.6
0;19;0;131.7;0;7;5;14.0;7;0;0.0
0;20;0;133.2;0;9;9;11.666.666.666.666.600;7;7;11.714.285.714.285.700
0;19;1;109.3;1;6;5;12.0;6;4;12.5
0;20;0;113.0;0;5;4;12.2;5;4;11.5
0;18;1;157.9;1;6;6;14.833.333.333.333.300;6;6;14.833.333.333.333.300
0;20;1;112.1;0;7;5;13.188;8;7;12.892.857.142.857.100
0;18;0;174.7;0;7;7;17.125;8;8;175.875
0;19;0;128.8;0;7;6;12.666.666.666.666.600;7;6;12.666.666.666.666.600
0;19;1;110.1;0;6;6;12.666.666.666.666.600;6;5;12.0
0;22;0;99.7;1;5;0;0.0;5;0;0.0
0;19;1;121.0;0;6;6;11.333.333.333.333.300;6;6;11.5
0;19;1;131.7;0;7;7;13.605;8;8;1.233.125
0;19;1;119.1;0;6;5;12.0;6;5;10.8
0;19;0;124.7;0;5;0;0.0;5;0;0.0
0;20;0;117.2;0;6;5;11.2;6;3;11.666.666.666.666.600
0;18;0;128.8;0;5;5;13.375;5;5;14.166.666.666.666.600
0;20;1;131.5;0;7;6;13.863.333.333.333.300;8;7;14.178.571.428.571.400
0;18;0;121.7;0;0;0;0.0;0;0;0.0
0;19;0;123.4;0;5;5;12.4;5;5;13.4
0;18;0;124.7;0;6;3;12.333.333.333.333.300;6;5;10.833.333.333.333.300
0;18;0;132.8;0;6;6;13.333.333.333.333.300;6;5;11.8
0;21;0;108.7;0;6;3;12.666.666.666.666.600;6;3;10.0
0;19;0;138.1;0;6;6;12.0;6;4;11.5
0;18;1;126.5;0;5;5;10.6;5;5;11.8
0;18;1;127.4;0;6;6;12.25;6;6;11.857.142.857.142.800
0;20;0;123.6;0;6;4;11.0;6;6;11.833.333.333.333.300
0;24;1;122.0;0;6;5;11.0;6;5;12.6
0;19;0;118.2;0;6;6;13.166.666.666.666.600;6;6;13.0
0;18;1;123.9;0;7;7;12.855.555.555.555.500;8;7;12.761.111.111.111.100
0;18;0;125.8;0;7;7;1.491.875;8;8;15.355
0;21;0;123.3;0;6;4;11.5;6;3;11.0
0;19;0;124.4;0;5;5;14.2;5;5;14.2
0;19;1;126.0;0;6;6;12.5;6;6;13.0
0;47;0;170.0;1;1;0;0.0;6;0;0.0
0;19;0;121.5;0;6;5;11.666.666.666.666.600;6;4;11.0
0;29;0;130.0;0;8;7;14.257.142.857.142.800;8;7;14.257.142.857.142.800
0;21;0;117.0;0;6;3;12.0;6;2;11.333.333.333.333.300
0;28;0;130.0;0;5;4;11.25;5;4;10.5
0;20;0;108.0;0;7;7;12.457.142.857.142.800;8;8;135.625
0;19;0;132.3;0;7;6;11.683.333.333.333.300;7;6;11.683.333.333.333.300
0;26;0;148.0;0;6;3;11.666.666.666.666.600;6;5;12.0
0;20;0;122.6;1;6;4;11.75;6;6;13.166.666.666.666.600
0;18;1;123.0;0;5;3;11.666.666.666.666.600;5;4;13.5
0;27;0;102.5;0;6;5;13.2;6;5;12.0
0;20;0;113.3;0;7;4;11.95;7;4;11.95
0;18;0;133.0;0;6;5;12.4;6;5;10.4
0;33;0;140.0;0;7;6;14.35;8;6;14.583.333.333.333.300
0;35;0;128.3;0;21;21;1.261.904.761.904.760;19;19;12.789.473.684.210.500
0;26;1;140.0;0;6;6;12.666.666.666.666.600;6;6;13.166.666.666.666.600
0;27;0;104.0;1;6;5;12.0;6;0;0.0
0;19;0;122.3;0;6;6;12.166.666.666.666.600;6;0;0.0
0;20;0;135.0;0;6;0;0.0;6;0;0.0
0;20;0;119.1;1;5;3;10.0;5;3;10.571.428.571.428.500
0;21;0;126.6;1;10;8;11.5;6;4;10.0
0;18;1;129.0;0;7;6;13.05;7;6;13.05
0;24;0;162.3;0;6;2;11.0;6;0;0.0
0;20;0;163.4;0;6;6;11.5;6;6;12.0
0;21;1;121.5;0;6;6;12.0;6;6;12.5
0;23;0;122.8;0;6;2;10.0;5;1;10.0
0;24;0;118.0;0;5;0;0.0;5;0;0.0
0;21;0;134.0;0;6;0;0.0;6;0;0.0
0;18;0;129.8;0;8;7;12.242.857.142.857.100;8;7;12.242.857.142.857.100
0;27;0;152.0;0;5;0;0.0;5;0;0.0
0;18;0;122.8;0;8;8;1.293.375;8;8;1.293.375
0;35;0;150.0;0;5;0;0.0;5;0;0.0
0;18;0;131.8;0;7;7;12.571.428.571.428.500;7;7;14.428.571.428.571.400
0;35;0;105.9;0;3;3;11.816.666.666.666.600;3;3;11.333.333.333.333.300
0;19;0;132.1;0;5;4;13.75;5;4;14.333.333.333.333.300
0;20;0;127.4;0;6;6;11.166.666.666.666.600;6;6;11.333.333.333.333.300
0;18;0;129.5;0;8;7;12.324.285.714.285.700;8;7;12.324.285.714.285.700
0;21;0;126.7;1;6;6;12.166.666.666.666.600;6;6;11.714.285.714.285.700
0;18;1;116.5;0;6;5;11.142.857.142.857.100;6;4;11.25
0;18;0;119.1;0;6;4;11.0;6;4;10.75
0;18;0;126.5;0;8;7;12.914.285.714.285.700;8;7;12.914.285.714.285.700
0;18;1;149.8;0;6;6;13.833.333.333.333.300;6;6;14.166.666.666.666.600
0;19;0;115.1;0;6;6;13.857.142.857.142.800;6;5;13.4
0;36;1;124.5;0;6;6;13.714.285.714.285.700;6;5;12.8
0;18;1;128.3;0;8;7;12.642.857.142.857.100;8;7;12.642.857.142.857.100
0;18;1;136.0;0;7;6;12.916.666.666.666.600;7;6;12.916.666.666.666.600
0;20;1;140.0;0;6;6;15.625;6;6;15.857.142.857.142.800
0;26;1;126.3;0;5;0;0.0;5;0;0.0
0;21;0;126.9;0;6;6;11.714.285.714.285.700;6;6;12.0
0;25;0;145.0;0;7;6;12.125;8;8;133.125
0;19;1;115.8;0;5;5;11.6;5;5;11.6
0;24;0;100.0;0;6;1;10.0;6;0;0.0
0;27;1;102.5;0;6;1;10.0;6;0;0.0
0;21;0;131.5;0;5;0;0.0;5;2;13.5
0;18;1;147.0;0;5;4;13.0;5;3;12.333.333.333.333.300
0;19;1;122.5;0;6;6;13.333.333.333.333.300;6;6;14.5
0;18;0;117.5;0;6;4;11.25;6;2;12.5
0;19;1;150.0;0;7;5;13.85;8;7;1.219.285.714.285.710
0;19;1;127.5;0;7;6;13.741.666.666.666.600;8;7;149.125
0;33;0;140.0;0;6;6;15.333.333.333.333.300;5;5;15.8
0;45;0;130.0;0;5;5;11.0;5;5;13.8
0;20;1;133.3;0;6;6;12.0;6;6;12.857.142.857.142.800
0;28;0;97.0;0;5;0;0.0;5;0;0.0
0;19;1;112.0;0;8;7;11.571.428.571.428.500;8;7;11.571.428.571.428.500
0;18;0;123.6;0;6;6;12.857.142.857.142.800;6;3;12.666.666.666.666.600
0;38;0;130.5;0;6;0;0.0;6;0;0.0
0;19;0;133.3;0;5;5;13.0;5;5;13.2
0;21;1;132.1;0;6;5;11.0;6;5;12.0
0;21;0;100.0;0;5;3;12.0;5;1;15.0
0;22;1;140.4;0;6;5;12.6;6;6;13.0
0;18;1;141.7;0;6;5;13.4;6;6;13.166.666.666.666.600
0;18;1;119.7;0;6;6;11.333.333.333.333.300;6;6;11.571.428.571.428.500
0;25;0;122.5;0;5;4;13.5;5;4;14.25
0;24;0;140.0;1;6;3;11.75;6;3;10.333.333.333.333.300
0;19;0;119.4;0;7;6;12.471.428.571.428.500;7;7;114.625
0;24;0;155.0;0;17;11;12.909.090.909.090.900;13;9;13.555.555.555.555.500
0;20;1;119.1;0;5;5;11.6;5;5;13.6
0;25;0;122.7;0;5;0;0.0;5;0;0.0
0;20;1;117.9;0;10;9;12.9;10;10;12.363.636.363.636.300
0;23;0;130.0;0;8;8;13.22;8;8;13.22
0;19;1;120.0;0;8;7;13.151.428.571.428.500;8;7;13.151.428.571.428.500
0;29;0;130.0;1;6;3;12.75;6;3;11.333.333.333.333.300
0;21;0;116.8;0;6;6;11.333.333.333.333.300;6;4;12.25
0;18;1;123.4;0;6;6;13.25;6;5;14.142.857.142.857.100
0;19;0;125.4;0;6;5;12.4;6;5;12.4
0;18;1;127.2;0;6;6;15.0;6;6;12.833.333.333.333.300
0;19;0;103.4;0;5;5;14.4;5;5;13.0
0;18;0;123.2;0;6;1;11.0;6;0;0.0
0;18;0;124.1;0;5;5;12.4;5;5;10.8
0;37;1;99.5;1;7;1;16.0;7;0;0.0
0;29;0;124.9;0;5;5;13.571.428.571.428.500;5;5;12.333.333.333.333.300
0;18;0;110.8;0;6;6;11.833.333.333.333.300;6;6;12.5
0;19;1;118.9;0;6;5;11.666.666.666.666.600;6;5;12.666.666.666.666.600
0;22;0;118.8;1;10;6;11.833.333.333.333.300;7;2;13.0
0;20;1;137.0;0;6;6;11.166.666.666.666.600;6;5;10.6
0;34;0;100.0;0;6;0;0.0;6;0;0.0
0;30;0;120.0;1;12;8;11.75;12;6;12.166.666.666.666.600
0;18;0;122.8;0;6;6;14.0;6;6;14.0
0;18;0;121.6;0;6;6;12.833.333.333.333.300;6;6;12.0
0;18;0;149.2;0;6;4;12.25;6;3;11.666.666.666.666.600
0;18;0;140.0;0;8;7;14.828.571.428.571.400;8;7;14.828.571.428.571.400
0;19;1;133.4;0;6;5;11.4;6;5;12.8
0;19;1;126.2;0;6;6;13.0;6;6;12.5
0;18;1;127.8;0;8;7;13.671.428.571.428.500;8;7;13.671.428.571.428.500
0;21;1;150.0;0;6;6;12.666.666.666.666.600;6;5;12.8
0;20;0;113.7;0;5;2;10.0;5;1;13.0
0;20;0;117.8;0;5;5;13.5;5;5;12.333.333.333.333.300
0;19;0;136.7;0;7;7;12.67;8;8;13.55
0;20;0;144.7;0;6;6;14.5;6;6;15.428.571.428.571.400
0;18;0;139.8;0;7;7;13.685.714.285.714.200;8;8;153.875
0;20;0;113.7;0;6;5;11.0;6;3;10.666.666.666.666.600
0;29;0;140.0;1;9;7;11.555.555.555.555.500;7;5;13.2
0;18;1;142.3;0;7;7;1.379.714.285.714.280;8;8;13.775
0;20;1;119.6;0;7;7;1.400.375;8;7;13.812.857.142.857.100
0;22;1;123.7;0;5;4;12.0;5;4;11.4
0;47;1;143.0;0;6;5;14.166.666.666.666.600;6;6;14.166.666.666.666.600
0;31;0;100.1;0;5;5;14.0;5;5;13.8
0;21;1;119.4;0;6;5;13.8;6;6;12.833.333.333.333.300
0;21;0;122.1;0;6;5;12.8;6;6;11.857.142.857.142.800
0;24;0;100.0;0;6;6;12.166.666.666.666.600;6;6;13.833.333.333.333.300
0;18;0;113.9;0;6;6;12.5;6;6;12.333.333.333.333.300
0;32;0;101.0;0;6;4;12.0;6;4;11.5
0;19;1;111.8;0;6;6;10.833.333.333.333.300;6;6;11.5
0;24;0;140.0;0;8;8;13.385;8;8;13.385
0;19;0;124.4;0;6;6;15.666.666.666.666.600;6;6;14.5
0;19;1;150.0;1;6;6;14.333.333.333.333.300;6;6;13.833.333.333.333.300
0;24;0;140.0;0;6;6;11.428.571.428.571.400;6;5;13.0
0;18;1;116.0;0;6;6;11.666.666.666.666.600;6;6;11.666.666.666.666.600
0;19;1;135.6;0;6;5;12.0;6;2;11.333.333.333.333.300
0;19;1;121.0;0;8;7;14.725.714.285.714.200;8;7;14.725.714.285.714.200
0;18;1;118.7;0;6;6;14.166.666.666.666.600;6;6;13.666.666.666.666.600
0;18;0;125.7;0;6;6;11.571.428.571.428.500;6;6;12.333.333.333.333.300
0;20;0;107.1;0;7;7;12.5;8;8;131.375
0;18;0;125.5;0;8;8;12.86;8;8;12.86
0;18;0;127.0;0;6;6;12.25;6;6;13.714.285.714.285.700
0;21;1;113.5;0;5;4;12.0;5;5;12.2
0;18;1;154.4;0;7;7;15.116.666.666.666.600;8;8;16.168.888.888.888.800
0;18;0;122.0;1;5;2;12.5;5;4;10.25
0;19;0;128.0;0;6;0;0.0;6;0;0.0
0;19;0;115.5;0;6;4;11.0;6;4;11.0
0;18;0;117.2;0;6;6;11.875;6;4;14.6
0;34;0;150.0;0;5;1;11.0;5;0;0.0
0;19;0;155.3;0;5;5;15.2;5;5;13.2
0;19;0;120.0;1;6;5;11.6;6;2;11.0
0;26;0;116.1;1;6;6;14.833.333.333.333.300;6;6;15.142.857.142.857.100
0;21;0;118.9;0;6;3;11.333.333.333.333.300;6;3;11.333.333.333.333.300
0;18;1;127.3;0;5;5;11.2;5;5;11.8
0;20;1;113.7;0;6;5;13.4;6;5;13.666.666.666.666.600
0;25;0;118.5;0;5;2;10.5;5;0;0.0
0;18;0;146.7;0;5;5;16.2;5;5;16.4
0;18;1;124.3;0;7;7;14.542.857.142.857.100;8;8;1.488.181.818.181.810
0;19;0;137.8;0;7;7;13.694.285.714.285.700;8;8;14.355.555.555.555.500
0;18;1;130.2;0;6;6;11.285.714.285.714.200;6;6;11.857.142.857.142.800
0;20;0;147.8;0;7;6;11.757.142.857.142.800;8;6;13.083.333.333.333.300
0;26;0;150.0;1;3;0;0.0;6;0;0.0
0;19;1;100.0;0;8;7;13.058.571.428.571.400;8;7;13.058.571.428.571.400
0;19;0;155.6;0;7;7;14.3;8;8;14.055.555.555.555.500
0;19;0;117.4;0;10;5;11.8;10;8;12.0
0;19;0;128.8;0;5;3;10.333.333.333.333.300;5;3;13.0
0;18;0;117.5;0;6;6;10.571.428.571.428.500;6;3;11.666.666.666.666.600
0;19;0;120.4;0;7;6;13.333.333.333.333.300;7;6;13.333.333.333.333.300
0;18;0;130.9;1;6;6;11.857.142.857.142.800;6;5;11.0
0;18;0;125.0;0;6;5;12.6;6;5;11.4
0;18;0;136.8;0;5;5;14.0;5;5;11.6
0;18;0;121.6;0;7;5;12.0;7;6;12.666.666.666.666.600
0;26;0;151.0;1;5;0;0.0;5;0;0.0
0;20;0;103.5;0;6;6;12.0;6;6;13.0
0;19;0;119.4;0;6;6;12.666.666.666.666.600;6;6;11.666.666.666.666.600
0;18;1;134.4;0;6;6;12.166.666.666.666.600;6;6;13.666.666.666.666.600
0;19;0;143.0;0;6;6;13.333.333.333.333.300;6;6;14.666.666.666.666.600
0;40;0;110.0;1;7;7;15.0;7;7;14.571.428.571.428.500
0;18;1;132.5;0;8;8;1.339.125;8;8;1.339.125
0;19;0;114.7;0;6;5;12.166.666.666.666.600;6;6;12.428.571.428.571.400
0;18;0;166.9;0;5;4;11.25;5;4;12.5
0;19;0;125.9;0;5;4;12.0;5;3;12.0
0;18;0;178.3;0;0;0;0.0;0;0;0.0
0;33;0;117.0;0;6;6;12.833.333.333.333.300;6;6;12.857.142.857.142.800
0;35;0;150.0;0;6;6;14.0;6;6;13.1
0;26;0;130.0;0;5;4;13.0;5;2;12.0
0;18;0;135.1;0;6;6;13.5;6;6;12.5
0;36;0;110.0;0;16;13;10.692.307.692.307.600;13;9;12.307.692.307.692.300
0;39;0;136.2;0;5;5;11.0;5;5;11.666.666.666.666.600
0;44;0;116.0;0;6;6;13.0;6;6;13.833.333.333.333.300
0;20;0;100.0;0;6;5;12.0;6;4;11.25
0;24;0;116.3;0;6;4;12.6;6;4;11.5
0;20;1;134.0;0;6;6;13.666.666.666.666.600;6;6;13.333.333.333.333.300
0;19;0;124.2;0;0;0;0.0;0;0;0.0
0;18;1;134.5;1;7;6;14.2;7;6;14.2
0;22;0;120.7;1;6;5;11.0;6;0;0.0
0;18;0;127.1;0;6;6;15.0;6;6;16.428.571.428.571.400
0;24;0;133.0;0;7;6;12.585.714.285.714.200;8;7;1.344.285.714.285.710
0;33;0;128.2;0;5;0;0.0;5;0;0.0
0;30;1;130.0;1;6;0;0.0;6;0;0.0
0;26;0;172.0;0;6;0;0.0;6;0;0.0
0;18;0;128.5;0;6;6;11.666.666.666.666.600;6;6;11.833.333.333.333.300
0;19;0;128.5;1;6;3;12.666.666.666.666.600;6;2;10.0
0;20;0;112.0;0;5;3;10.333.333.333.333.300;5;4;11.0
0;22;1;142.5;0;11;8;13.5;9;7;13.714.285.714.285.700
0;19;0;133.0;0;7;5;13.98;7;5;13.98
0;21;1;106.0;0;6;6;16.153.846.153.846.100;6;6;15.75
0;21;1;125.5;0;7;6;14.033.333.333.333.300;7;6;14.033.333.333.333.300
0;19;0;131.2;0;5;1;11.0;5;5;11.2
0;19;1;112.9;0;7;7;13.857.142.857.142.800;7;6;13.666.666.666.666.600
0;18;0;124.8;0;8;7;13.414.285.714.285.700;8;7;13.414.285.714.285.700
0;50;0;140.9;0;11;11;13.545.454.545.454.500;7;7;13.571.428.571.428.500
0;31;1;148.0;0;5;4;11.25;5;4;10.833.333.333.333.300
0;19;1;148.4;0;6;6;13.833.333.333.333.300;6;6;14.428.571.428.571.400
0;35;0;129.7;0;5;5;12.0;5;5;12.857.142.857.142.800
0;31;0;128.2;0;6;0;0.0;6;0;0.0
0;42;0;104.0;1;11;10;11.9;11;10;12.8
0;34;0;119.9;0;5;0;0.0;5;0;0.0
0;18;1;141.0;0;7;7;15.135.714.285.714.200;8;8;15.287.499.999.999.900
0;18;1;116.6;0;7;7;12.285.714.285.714.200;7;6;13.333.333.333.333.300
0;21;0;140.0;0;6;5;12.666.666.666.666.600;6;2;13.5
0;26;1;140.0;0;7;5;12.74;8;6;10.978.571.428.571.400
0;20;0;100.0;0;7;6;13.25;8;8;13.75
0;19;0;121.0;0;6;3;10.333.333.333.333.300;6;3;10.333.333.333.333.300
0;19;1;117.0;0;6;6;13.428.571.428.571.400;6;6;13.166.666.666.666.600
0;20;0;140.2;0;11;9;12.555.555.555.555.500;9;8;1.111.111.111.111.110
0;19;0;129.3;0;6;6;11.5;6;6;11.166.666.666.666.600
0;18;0;145.3;0;6;6;13.666.666.666.666.600;6;6;12.333.333.333.333.300
0;28;0;146.2;0;14;11;11.272.727.272.727.200;11;10;12.0
0;22;0;122.5;0;6;5;13.166.666.666.666.600;6;5;12.4
0;21;1;156.1;0;6;6;14.666.666.666.666.600;6;6;14.166.666.666.666.600
0;21;0;140.0;0;6;4;12.75;6;1;11.0
0;26;0;140.0;0;7;5;11.2;8;5;12.14
0;18;0;128.4;1;6;5;13.0;6;5;11.4
0;20;0;115.0;0;5;2;10.5;5;2;12.333.333.333.333.300
0;18;0;158.7;0;6;6;14.857.142.857.142.800;6;6;14.0
0;19;1;124.5;0;8;7;12.86;8;7;12.86
0;20;0;111.9;0;11;11;11.727.272.727.272.700;11;11;12.0
0;22;1;150.0;0;6;6;13.142.857.142.857.100;6;3;12.0
0;18;0;114.2;1;6;5;11.8;6;4;13.714.285.714.285.700
0;19;0;96.0;0;5;3;10.666.666.666.666.600;5;0;0.0
0;18;1;128.9;0;6;5;11.6;6;4;11.2
0;20;0;121.7;0;6;3;10.333.333.333.333.300;6;3;10.333.333.333.333.300
